Image,Mask
E:\challenge\data\MM-WHS2017\trainstage\train/Image/0.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/0.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/1.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/1.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/10.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/10.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/11.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/11.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/12.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/12.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/13.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/13.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/14.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/14.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/15.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/15.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/16.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/16.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/17.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/17.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/18.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/18.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/19.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/19.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/2.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/2.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/3.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/3.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/4.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/4.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/5.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/5.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/6.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/6.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/7.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/7.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/8.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/8.npy
E:\challenge\data\MM-WHS2017\trainstage\train/Image/9.npy,E:\challenge\data\MM-WHS2017\trainstage\train/Mask/9.npy
