Image,Mask
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/0.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/0.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/1.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/1.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/10.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/10.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/11.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/11.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/12.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/12.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/13.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/13.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/14.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/14.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/15.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/15.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/16.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/16.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/17.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/17.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/18.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/18.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/19.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/19.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/2.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/2.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/3.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/3.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/4.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/4.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/5.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/5.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/6.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/6.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/7.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/7.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/8.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/8.npy
E:\challenge\data\MM-WHS2017\trainstage\validation/Image/9.npy,E:\challenge\data\MM-WHS2017\trainstage\validation/Mask/9.npy
